season,contractInfo,contractYear,id,salary,conference
2022,2022 UFA,1,0000,,0
2022,2022 TToff,1,11675,42,0
2022,2022 UFA,1,13230,1.30,0
2022,2022 ERFA,1,14185,0.97,0
2022,2022 UFA,1,12181,1.30,0
2022,2020 2.04,2,14840,1.71,0
2022,2020 1.10,2,14799,2.99,0
2022,2022 UFA,1,13753,1.30,0
2022,2022 R/F,2,13730,0.90,0
2022,2022 UFA,1,13246,0.90,0
2022,2022 oEXT,3,13208,7.21,0
2022,2021 EXT,5,13589,18.60,0
2022,2022 iEXT,5,14167,11.23,0
2022,2021 UFA,1,11222,16.50,0
2022,2022 iEXT,3,14153,4.80,0
2022,2022 3.09,4,15712,1.08,0
2022,2022 3.03,4,15858,1.18,0
2022,2022 UDFA,2,15903,0.77,0
2022,2020 EXT,3,13671,12.18,0
2022,2022 UFA,1,10814,1.30,0
2022,2022 R/F,2,13268,0.90,0
2022,2022 3.15,4,15911,1,0
2022,2019 EXT,1,12218,8.66,0
2022,2022 UFA,1,13759,0.90,0
2022,2022 5.05,3,15829,0.85,0
2022,2021 3.07,2,15301,1.12,0
2022,2022 4.17,3,15777,0.86,0
2022,2022 R/F,2,12083,0.90,0
2022,2022 UFA,1,13263,1.30,0
2022,2022 UFA,3,13251,6,0
2022,2020 EXT,2,13706,3.16,0
2022,2021 EXT,4,13604,10.79,0
2022,2021 3.04,3,15357,1.17,0
2022,2021 3.21,2,15409,0.98,0
2022,2021 UFA,1,13201,1.65,0
2022,2022 FRFA,3,12075,5.56,0
2022,2022 R/F,2,14217,0.90,0
2022,2020 UFA,1,14983,0.97,0
2022,2021 2.01,3,15293,1.90,0
2022,2022 UFA,3,13737,3.30,0
2022,2022 UFA,1,11679,1.80,0
2022,2022 3.01,4,15758,1.23,0
2022,2021 UFA,1,12718,5.50,0
2022,2022 UFA,1,15873,0.90,0
2022,2022 iEXT,4,14801,2.67,0
2022,2022 ERFA,1,13775,0.97,0
2022,2022 R/F,2,14933,0.90,0
2022,2022 UFA,1,15973,0.90,0
2022,2022 UFA,1,15904,1,0
2022,2021 2.13,3,15355,1.32,0
2022,2022 4.08,4,15861,0.90,0
2022,2022 5.16,4,15854,0.83,0
2022,2022 B/R,2,12686,15,0
2022,2019 1.04,1,14147,6.17,0
2022,2022 UFA,1,13418,0.90,0
2022,2021 UFA,0,14843,,0
2022,2022 UFA,1,13256,3,0
2022,2020 EXT,2,12650,7.26,0
2022,2020 UFA,1,12750,1.69,0
2022,2021 UFA,1,5848,16.50,0
2022,2022 2.12,4,15835,1.37,0
2022,2022 R/F,1,12616,0.90,0
2022,2020 3.06,2,14892,1.13,0
2022,2019 1.15+,1,14104,2.82,0
2022,2022 ERFA,1,12817,0.99,0
2022,2020 2.10,2,14897,1.42,0
2022,2021 3.11,3,15292,1.07,0
2022,2019 2.03^,1,14105,2.54,0
2022,2021 4.15,3,15356,0.90,0
2022,2022 UDFA,2,15872,0.77,0
2022,2022 R/F,2,14875,0.90,0
2022,2020 EXT,3,12688,13.60,0
2022,2022 1.07,4,15752,3.89,0
2022,2019 2.08^,1,14171,2.54,0
2022,2020 1.02,2,14777,7.45,0
2022,2019 1.08,1,14170,4.22,0
2022,2021 B/R,2,12752,3.30,0
2022,2022 R/F,2,15418,0.90,0
2022,2022 UDFA,2,15887,0.77,0
2022,2022 UFA,1,9051,1.30,0
2022,2022 SRFA,2,12779,3.99,0
2022,2019 2.01,1,14112,2.61,0
2022,2021 UDFA,2,15380,0.80,0
2022,2022 ERFA,1,13718,0.99,0
2022,2021 EXT,2,11644,10.92,0
2022,2022 UFA,1,12394,1.30,0
2022,2022 R/F,2,13703,0.90,0
2022,2022 UFA,1,15432,0.90,0
2022,2021 2.07,3,15258,1.54,0
2022,2022 UDFA,2,15870,0.77,0
2022,2022 UDFA,3,15723,0.77,0
2022,2022 UFA,1,13668,1.30,0
2022,2021 1.03,3,15281,5.95,0
2022,2022 4.02,4,15831,0.94,0
2022,2020 3.10,2,14927,1.09,0
2022,2021 EXT,3,13681,2.64,0
2022,2021 EXT,3,13610,12.36,0
2022,2022 2.11,4,15837,1.40,0
2022,2021 3.20,2,15364,0.98,0
2022,2021 UFA,1,13322,3.52,0
2022,2022 UFA,1,15826,0.90,0
2022,2022 UFA,1,12280,1.40,0
2022,2021 UFA,2,12739,4.84,0
2022,2020 2.15,2,14841,1.28,0
2022,2022 UFA,1,15878,0.90,0
2022,2018 FRFA,1,11706,4.53,0
2022,2022 UFA,1,10308,1.60,0
2022,2022 ERFA,1,14630,0.99,0
2022,2022 UFA,1,12250,0.90,0
2022,2022 UFA,1,12754,0.90,0
2022,2021 2.03,3,15290,1.76,0
2022,2021 2.06,3,15352,1.58,0
2022,2022 ERFA,1,13675,0.99,0
2022,2020 EXT,2,13146,10.56,0
2022,2022 4.14,4,15860,0.88,0
2022,2021 EXT,2,13128,20.98,0
2022,2022 2.02,4,15715,1.89,0
2022,2022 UFA,1,13844,0.90,0
2022,2021 B/R,1,11674,12.10,0
2022,2022 UFA,1,12175,16.70,0
2022,2022 2.10,4,15691,1.44,0
2022,2020 SRFA,1,10700,20.93,0
2022,2022 UFA,1,10762,1.30,0
2022,2019 6.13^,1,14225,2.54,0
2022,2022 5.09,4,15839,0.84,0
2022,2021 B/R,2,12184,4.95,0
2022,2022 ERFA,1,15001,0.99,0
2022,2022 UFA,1,14815,0.90,0
2022,2022 UFA,1,10313,1.50,0
2022,2022 UFA,1,14935,0.90,0
2022,2021 UDFA,2,15321,0.80,0
2022,2022 UFA,1,13592,1.40,0
2022,2022 UFA,1,13688,1.30,0
2022,2022 UFA,1,10768,3,0
2022,2022 UFA,2,13710,1.40,0
2022,2020 EXT,3,13153,8.25,0
2022,2022 UFA,1,10816,2.40,0
2022,2022 oEXT,6,14845,2.72,0
2022,2021 1.15,3,15373,2.09,0
2022,2022 2.15,4,15817,1.28,0
2022,2022 UFA,1,13479,0.90,0
2022,2022 4.07,4,15746,0.91,0
2022,2021 5.11,2,15396,0.86,0
2022,2022 2.09,4,15821,1.48,0
2022,2022 iEXT,3,14907,1.85,0
2022,2022 UFA,1,15979,0.90,0
2022,2021 TToff,2,13782,3.30,0
2022,2021 RRFA,1,12349,2.31,0
2022,2022 UFA,2,12186,25,0
2022,2020 6.08,2,14903,0.89,0
2022,2020 2.07,2,14805,1.54,0
2022,2022 UFA,1,13763,1.30,0
2022,2020 1.07,2,14800,3.94,0
2022,2019 EXT,1,11757,10.22,0
2022,2022 UFA,1,14108,1.30,0
2022,2022 1.12,4,15755,2.59,0
2022,2022 5.01,3,15779,0.86,0
2022,2022 UFA,2,13281,2.10,0
2022,2021 UFA,1,12630,3.74,0
2022,2020 5.04,1,14921,0.94,0
2022,2022 3.20,3,15797,0.96,0
2022,2022 UFA,1,14315,1.40,0
2022,2022 UFA,1,9825,0.90,0
2022,2021 UFA,2,12234,2.42,0
2022,2020 3.09,2,14847,1.10,0
2022,2022 3.04,4,15851,1.16,0
2022,2021 EXT,1,13726,2.72,0
2022,2022 UFA,1,13697,3.10,0
2022,2021 SRFA,1,13850,3.74,0
2022,2022 UFA,1,14222,1.30,0
2022,2022 UFA,1,14322,1.30,0
2022,2020 1.04,2,14803,5.58,0
2022,2021 UFA,0,14401,0.99,0
2022,2022 UFA,1,15250,1.30,0
2022,2022 UFA,1,13404,27.90,0
2022,2022 R/F,2,13806,0.90,0
2022,2019 EXT,2,12625,10.78,0
2022,2022 UFA,1,14303,0.90,0
2022,2022 UFA,1,15862,0.90,0
2022,2022 UDFA,2,15813,0.77,0
2022,2021 B/R,2,13189,5.50,0
2022,2022 UFA,1,14879,1.30,0
2022,2022 UFA,1,14270,1.30,0
2022,2022 UFA,1,11247,10,0
2022,2021 3.13,3,15302,1.04,0
2022,2021 1.06,3,15253,4.09,0
2022,2022 UFA,1,11671,23.50,0
2022,2022 UFA,2,13699,1.40,0
2022,2021 UFA,2,13236,2.20,0
2022,2022 UDFA,3,15780,0.77,0
2022,2019 2.02^,1,14137,2.54,0
2022,2021 1.07,3,15238,3.70,0
2022,2021 EXT,2,13713,5.85,0
2022,2021 SRFA,1,12734,3.74,0
2022,2022 UFA,1,8851,0.90,0
2022,2022 4.10,4,15713,0.89,0
2022,2022 UFA,1,13339,0.90,0
2022,2022 UFA,1,13933,0.90,0
2022,2022 UFA,1,13134,1.50,0
2022,2022 UFA,1,15437,1.30,0
2022,2021 UFA,1,13129,5.61,0
2022,2022 UFA,2,12217,1.40,0
2022,2021 EXT,2,15032,1.74,0
2022,2022 UFA,1,13085,0.90,0
2022,2022 UFA,1,13837,0.90,0
2022,2021 3.03,3,15331,1.19,0
2022,2022 UFA,1,12714,0.90,0
2022,2022 iEXT,3,14904,1.38,0
2022,2021 EXT,2,13809,2.98,0
2022,2022 UFA,1,14237,0.90,0
2022,2021 4.06,3,15255,0.94,0
2022,2022 UFA,3,13646,9.50,0
2022,2022 UFA,1,9694,1.30,0
2022,2022 5.06,4,15833,0.85,0
2022,2022 R/F,2,14224,0.90,0
2022,2022 UFA,1,11760,2.90,0
2022,2020 EXT,2,13198,9.85,0
2022,2021 EXT,3,14149,2.16,0
2022,2022 UFA,1,14244,0.90,0
2022,2022 iEXT,3,14926,2.43,0
2022,2021 EXT,1,13672,8.34,0
2022,2020 2.13,2,14852,1.32,0
2022,2022 UFA,1,14489,1.30,0
2022,2022 UFA,1,15499,1.30,0
2022,2022 UFA,1,10789,0.90,0
2022,2022 oEXT,2,14962,2,0
2022,2022 UFA,1,14652,0.90,0
2022,2021 B/R,3,13317,4.40,0
2022,2020 EXT,3,13163,33.79,0
2022,2020 EXT,3,13674,3.37,0
2022,2019 EXT,2,12611,5.45,0
2022,2022 ERFA,1,12278,0.97,0
2022,2022 B/R,1,13277,5.50,0
2022,2022 UFA,1,11239,1.30,0
2022,2022 5.20,2,15852,0.82,0
2022,2022 UFA,1,9826,0.90,0
2022,2022 UFA,1,15429,0.90,0
2022,2022 UFA,1,14405,1,0
2022,2022 UFA,1,15419,1,0
2022,2021 2.12,3,15381,1.35,0
2022,2022 UFA,1,15782,0.90,0
2022,2022 UFA,1,15337,0.90,0
2022,2022 oEXT,2,13746,3.80,0
2022,2022 ERFA,1,14882,0.99,0
2022,2022 iEXT,3,14247,2.04,0
2022,2021 R/F,1,12215,0.99,0
2022,2022 UFA,1,15543,0.90,0
2022,2020 2.12,2,14878,1.34,0
2022,2022 RRFA,3,12828,3,0
2022,2022 UFA,1,10457,0.90,0
2022,2022 1.01,4,15708,8.76,0
2022,2022 3.12,4,15812,1.04,0
2022,2022 UFA,1,14930,0.90,0
2022,2022 1.16,4,15834,2.07,0
2022,2020 3.13,2,14837,1.06,0
2022,2022 UFA,1,15469,0.90,0
2022,2019 1.16,1,14113,2.70,0
2022,2020 SRFA,1,12764,4.24,0
2022,2022 UFA,1,11359,0.90,0
2022,2022 UFA,3,13204,3.10,0
2022,2022 3.05,4,15823,1.14,0
2022,2019 2.16^,1,14075,2.54,0
2022,2021 1.05,3,15254,4.59,0
2022,2021 SRFA,1,11872,3.74,0
2022,2022 UFA,1,14213,0.90,0
2022,2022 B/R,1,14101,1.40,0
2022,2022 UFA,1,14821,1.30,0
2022,2022 UFA,1,14954,0.90,0
2022,2022 UFA,1,13771,0.90,0
2022,2022 UFA,1,12476,0.90,0
2022,2022 UFA,1,10945,1.30,0
2022,2019 2.05^,1,14087,2.54,0
2022,2021 EXT,3,13284,3.29,0
2022,2020 EXT,1,12626,17.66,0
2022,2020 FRFA,1,12676,5.57,0
2022,2020 1.14,2,14779,2.27,0
2022,2021 5.15,3,15271,0.86,0
2022,2021 UFA,1,10266,3.85,0
2022,2022 SRFA,1,12287,3.99,0
2022,2021 UFA,1,12678,5.17,0
2022,2020 1.15,2,14835,2.15,0
2022,2022 oEXT,6,14940,4.78,0
2022,2022 UFA,1,13742,1.30,0
2022,2022 4.01,4,15836,0.95,0
2022,2022 UFA,1,13424,1.30,0
2022,2022 iEXT,2,12801,36.87,0
2022,2022 UFA,1,13871,1.30,0
2022,2022 UFA,1,13414,1.30,0
2022,2022 R/F,2,13622,0.90,0
2022,2022 UFA,1,15183,0.90,0
2022,2022 R/F,2,15441,0.90,0
2022,2022 iEXT,4,14138,10.22,0
2022,2022 UFA,1,14849,0.90,0
2022,2022 UFA,1,15565,1,0
2022,2019 5.03^,1,14260,3.99,0
2022,2021 3.12,3,15366,1.06,0
2022,2022 UFA,1,13289,0.90,0
2022,2022 R/F,2,14182,0.90,0
2022,2021 UFA,1,12677,3.41,0
2022,2021 UFA,1,11232,29.70,0
2022,2021 3.10,3,15361,1.08,0
2022,2022 UFA,1,15928,0.90,0
2022,2022 UFA,1,10277,0.90,0
2022,2020 EXT,2,12742,4.75,0
2022,2022 4.15,4,15693,0.87,0
2022,2021 4.04,3,15261,0.95,0
2022,2021 EXT,2,13684,6.69,0
2022,2021 UDFA,2,15452,0.80,0
2022,2020 SRFA,1,13223,3.99,0
2022,2020 FRFA,2,13138,5.57,0
2022,2019 EXT,2,12221,15.71,0
2022,2022 UFA,1,14789,0.90,0
2022,2022 R/F,2,13680,0.90,0
2022,2020 3.07,2,14783,1.12,0
2022,2022 1.11,4,15805,2.77,0
2022,2022 UFA,1,11382,1.30,0
2022,2021 UFA,1,12987,1.43,0
2022,2022 UDFA,2,15734,0.77,0
2022,2022 UFA,1,12702,3.30,0
2022,2022 R/F,2,13226,0.90,0
2022,2022 UDFA,3,15899,0.77,0
2022,2022 UFA,1,15016,0.90,0
2022,2022 UFA,1,15277,0.90,0
2022,2022 UFA,1,13738,0.90,0
2022,2022 4.13,4,15811,0.88,0
2022,2022 R/F,2,13229,0.90,0
2022,2021 RRFA,3,13917,5.50,0
2022,2022 UFA,1,9861,0.90,0
2022,2021 EXT,4,13593,17.08,0
2022,2022 UFA,1,14252,0.90,0
2022,2022 UFA,1,15549,0.90,0
2022,2019 1.02,1,14073,8.12,0
2022,2021 EXT,3,13714,6.92,0
2022,2022 B/R,2,12305,6,0
2022,2022 UFA,1,13722,0.90,0
2022,2020 1.08,2,14836,3.55,0
2022,2020 3.01,2,14858,1.22,0
2022,2022 UFA,1,13288,0.90,0
2022,2022 UFA,1,14860,0.90,0
2022,2020 1.05,2,14833,4.92,0
2022,2022 UFA,2,13702,1.40,0
2022,2022 RRFA,2,12700,2.43,0
2022,2019 2.12^,1,14208,2.54,0
2022,2022 UFA,1,14924,0.90,0
2022,2022 2.05,4,15809,1.68,0
2022,2022 UFA,1,13274,1.30,0
2022,2022 UFA,1,14861,1.40,0
2022,2022 UDFA,2,15912,0.77,0
2022,2022 ERFA,1,13764,0.97,0
2022,2022 UFA,1,14095,0.90,0
2022,2021 UFA,1,13848,1.43,0
2022,2020 EXT,3,13319,19.57,0
2022,2022 iEXT,4,14910,2.19,0
2022,2022 UFA,1,10753,1.30,0
2022,2021 UFA,2,12741,6.60,0
2022,2021 EXT,3,13332,2.50,0
2022,2022 UFA,1,11793,0.90,0
2022,2019 2.14,1,14059,1.78,0
2022,2022 UFA,1,12745,3,0
2022,2019 5.11,1,14164,0.85,0
2022,2021 4.07,2,15404,0.94,0
2022,2022 UFA,1,15881,0.90,0
2022,2022 UFA,1,12988,0.90,0
2022,2022 B/R,1,10271,3,0
2022,2022 UFA,1,13748,1.40,0
2022,2021 1.14,3,15241,2.20,0
2022,2022 5.26,2,15868,0.82,0
2022,2022 UFA,1,10738,0.90,0
2022,2022 UFA,2,13606,1.40,0
2022,2022 5.21,4,15863,0.82,0
2022,2022 4.08,4,15767,0.92,0
2022,2022 UFA,1,13176,1.40,0
2022,2021 4.09,3,15330,0.92,0
2022,2021 B/R,1,10292,6.05,0
2022,2022 UFA,1,13898,0.90,0
2022,2022 UFA,1,15383,0.90,0
2022,2022 5.02,4,15871,0.86,0
2022,2022 UFA,1,9904,0.90,0
2022,2022 SRFA,2,13810,3.99,0
2022,2021 SRFA,1,12795,3.74,0
2022,2022 iEXT,3,13132,11.33,0
2022,2022 2.07,4,15808,1.57,0
2022,2022 ERFA,1,12720,0.99,0
2022,2020 TToff,1,11244,29.04,0
2022,2022 UFA,1,14807,0.90,0
2022,2022 B/R,1,12239,6.70,0
2022,2022 UFA,1,13232,1,0
2022,2020 2.11,2,14899,1.38,0
2022,2021 EXT,3,13633,12.95,0
2022,2022 ERFA,1,11772,0.99,0
2022,2019 EXT,2,13299,8.97,0
2022,2020 4.07,2,14867,0.98,0
2022,2022 UFA,1,15727,2.10,0
2022,2022 SRFA,3,14143,3.99,0
2022,2022 UFA,1,16016,0.90,0
2022,2022 UFA,1,15795,0.90,0
2022,2022 UFA,1,13403,0.90,0
2022,2020 EXT,1,13164,10.75,0
2022,2020 1.06,2,14832,4.37,0
2022,2021 1.02,3,15240,6.93,0
2022,2022 NEFT,1,13700,18.52,0
2022,2022 B/R,2,11680,7,0
2022,2022 SRFA,2,13224,3.99,0
2022,2019 EXT,2,11769,5.95,0
2022,2019 3.10^,1,14159,2.54,0
2022,2021 1.01,3,15237,8.20,0
2022,2022 R/F,2,13202,0.90,0
2022,2022 UFA,1,12687,1.30,0
2022,2021 EXT,2,13632,3.94,0
2022,2022 5.10,4,15818,0.84,0
2022,2022 UFA,1,7578,0.90,0
2022,2022 UFA,1,15445,0.90,0
2022,2021 EXT,3,13733,15.49,0
2022,2022 UDFA,3,15798,0.77,0
2022,2022 1.14,4,15822,2.29,0
2022,2021 EXT,3,12187,11.04,0
2022,2022 1.04,4,15751,5.50,0
2022,2022 ERFA,1,14268,0.99,0
2022,2020 3.05,2,14782,1.14,0
2022,2022 UFA,1,14179,1.30,0
2022,2022 UFA,1,12791,1.30,0
2022,2022 oEXT,2,13952,2.35,0
2022,2020 EXT,1,11721,12.75,0
2022,2022 UFA,1,14900,1,0
2022,2022 4.12,4,15853,0.88,0
2022,2020 EXT,4,13116,26.97,0
2022,2022 5.25,4,15867,0.82,0
2022,2022 UFA,1,14985,0.90,0
2022,2022 R/F,2,12141,0.90,0
2022,2021 2.04,3,15308,1.69,0
2022,2022 UFA,1,15972,0.90,0
2022,2022 UFA,1,11313,1.40,0
2022,2022 UFA,1,15876,0.90,0
2022,2022 UDFA,3,15820,0.77,0
2022,2019 3.15^,1,14223,2.54,0
2022,2020 UFA,1,13252,2.66,0
2022,2021 EXT,4,13590,7.01,0
2022,2022 3.06,4,15794,1.13,0
2022,2019 EXT,1,13130,21.82,0
2022,2022 UFA,1,12311,0.90,0
2022,2022 UFA,1,9846,1.30,0
2022,2022 UFA,1,15849,1.30,0
2022,2022 5.11,2,15845,0.84,0
2022,2022 5.18,3,15890,0.83,0
2022,2022 UFA,1,13313,1.40,0
2022,2020 3.15,2,14908,1.04,0
2022,2022 R/F,2,11761,0.90,0
2022,2022 iEXT,3,14109,8.68,0
2022,2022 UFA,1,11017,0.90,0
2022,2021 5.12,3,15368,0.86,0
2022,2022 iEXT,5,14102,9.10,0
2022,2022 2.16,4,15759,1.25,0
2022,2022 SRFA,1,14127,3.99,0
2022,2020 SRFA,1,13307,3.99,0
2022,2021 EXT,2,10267,2.30,0
2022,2021 EXT,2,15252,7.28,0
2022,2022 UFA,1,14846,0.90,0
2022,2022 UFA,1,14067,0.90,0
2022,2021 5.01,2,15263,0.88,0
2022,2022 UDFA,3,15909,0.77,0
2022,2019 EXT,3,13131,2.56,0
2022,2021 2.11,3,15365,1.39,0
2022,2021 5.02,3,15402,0.88,0
2022,2019 1.07+,1,14071,4.57,0
2022,2020 UDFA,1,14974,0.84,0
2022,2022 UFA,1,12773,0.90,0
2022,2022 UFA,3,13635,24.60,0
2022,2021 1.13,3,15288,2.33,0
2022,2021 UFA,2,13470,3.30,0
2022,2021 1.16,3,15283,1.99,0
2022,2022 1.09,4,15766,3.24,0
2022,2022 UFA,1,13270,0.90,0
2022,2022 UFA,1,14239,1.30,0
2022,2022 UFA,1,13426,0.90,0
2022,2022 UFA,1,13998,1.30,0
2022,2020 B/R*,1,11728,10.12,0
2022,2020 2.14,2,14798,1.30,0
2022,2022 ERFA,1,12447,0.99,0
2022,2022 iEXT,4,15830,1.58,0
2022,2021 R/F,1,14180,0.99,0
2022,2020 2.01,2,14889,1.94,0
2022,2019 1.01+,1,14056,9.62,0
2022,2022 UFA,1,11390,1,0
2022,2022 UFA,1,12437,0.90,0
2022,2022 UFA,1,14028,1.30,0
2022,2022 UFA,1,12291,0.90,0
2022,2019 SRFA,1,12756,3.33,0
2022,2022 UFA,1,13777,0.90,0
2022,2022 UFA,1,13192,6.20,0
2022,2022 UFA,2,13704,2.50,0
2022,2021 4.18,2,15386,0.89,0
2022,2021 UDFA,2,15393,0.80,0
2022,2022 oEXT,2,13265,4.48,0
2022,2022 3.18,4,15807,0.98,0
2022,2021 3.01,3,15385,1.22,0
2022,2021 EXT,3,14218,4.20,0
2022,2022 UFA,1,15889,0.90,0
2022,2022 UFA,1,13685,1,0
2022,2022 R/F,2,14902,0.90,0
2022,2022 UFA,1,12948,1.30,0
2022,2022 1.08,4,15754,3.54,0
2022,2022 iEXT,3,14158,3.51,0
2022,2022 ERFA,1,13813,0.97,0
2022,2021 3.16,3,15382,1.01,0
2022,2022 UFA,1,12782,1.30,0
2022,2022 UFA,3,14977,2.40,0
